"envelope_ID","date","site_name","species","project_2025","project","age_class","burn_year_original","calluna_NiN_type","plant_nr","leaf_nr","leaf_age","sample","collection_time","paired_with","calluna_shoot_type","bulk_nr_leaves","wet_mass","leaf_thickness_1","leaf_thickness_2","leaf_thickness_3","stem_diameter_base","stem_diameter_mid","stem_diameter_tip","scanned","dry_mass","remark","calluna_NIN_type","unique_plantID","latitude_N","longitude_E","source_file","bulk_nr_leaf_area","leaf_area_sum","colltime","height_cm","bulk_nr_wet_mass","bulk_nr_thickness","bulk_nr_dry_mass","leaf_area","SLA","LDMC"
"ADA4600",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","1",1,"young","Bulk",15:03:00,"Hyd Trait",NA,5,0.0021,0.321,0.355,0.33,9.91,NA,NA,"yes",0.00082,NA,"BH","Mature_BH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.24,15:03:00,46,5,5,5,0.048,58.5365853658537,0.39047619047619
"ADB0317",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","1",2,"young","Bulk",15:03:00,"Hyd Trait",NA,5,0.00292,0.474,0.484,0.476,9.91,NA,NA,"yes",0.00121,NA,"BH","Mature_BH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,15:03:00,46,5,5,5,0.06,49.5867768595041,0.414383561643836
"ADC5721",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","1",3,"young","Bulk",15:03:00,"Hyd Trait",NA,5,0.00326,0.477,0.536,0.427,9.91,NA,NA,"yes",0.00133,NA,"BH","Mature_BH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.34,15:03:00,46,5,5,5,0.068,51.1278195488722,0.407975460122699
"ADD3819",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","1",4,"young","Bulk",15:03:00,"Hyd Trait",NA,5,0.00218,0.464,0.421,0.406,9.91,NA,NA,"yes",0.00089,NA,"BH","Mature_BH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.28,15:03:00,46,5,5,5,0.056,62.9213483146067,0.408256880733945
"ADE6238",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","1",5,"young","Bulk",15:03:00,"Hyd Trait",NA,5,0.00273,0.404,0.503,0.458,9.91,NA,NA,"no",0.00102,NA,"BH","Mature_BH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.35,15:03:00,46,5,5,5,0.07,68.6274509803922,0.373626373626374
"ADF1499",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","2",1,"young","Bulk",15:05:00,"Hyd Trait",NA,5,0.00366,0.425,0.397,0.525,7.89,NA,NA,"yes",0.00138,NA,"BH","Mature_BH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.4,15:05:00,28,5,5,5,0.08,57.9710144927536,0.377049180327869
"ADG4733",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","2",2,"young","Bulk",15:05:00,"Hyd Trait",NA,5,0.00337,0.352,0.378,0.579,7.89,NA,NA,"yes",0.00127,NA,"BH","Mature_BH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.35,15:05:00,28,5,5,5,0.07,55.1181102362205,0.376854599406528
"ADH6103",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","2",3,"young","Bulk",15:05:00,"Hyd Trait",NA,5,0.00355,0.382,0.381,0.42,7.89,NA,NA,"yes",0.00127,NA,"BH","Mature_BH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.35,15:05:00,28,5,5,5,0.07,55.1181102362205,0.357746478873239
"ADI6283",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","2",4,"young","Bulk",15:05:00,"Hyd Trait",NA,5,0.00319,0.39,0.379,0.402,7.89,NA,NA,"yes",0.00122,NA,"BH","Mature_BH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.33,15:05:00,28,5,5,5,0.066,54.0983606557377,0.382445141065831
"ADJ3376",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","2",5,"young","Bulk",15:05:00,"Hyd Trait",NA,5,0.00326,0.429,0.351,0.377,7.89,NA,NA,"yes",0.00113,NA,"BH","Mature_BH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.38,15:05:00,28,5,5,5,0.076,67.2566371681416,0.346625766871166
