"","ID","n","leaf_area"
"1","ABW7956",5,0.34
"2","ABX9479",5,0.35
"3","ABY1693",4,0.23
"4","ABZ2899",6,0.33
"5","ACA3144",5,0.35
"6","ACB2306",5,0.4
"7","ACC9116",5,0.46
"8","ACD6281",5,0.3
"9","ACE6166",5,0.47
"10","ACF0339",5,0.41
"11","ACG3403",5,0.39
"12","ACI2672",5,0.37
"13","ACJ2997",5,0.39
"14","ACK6912",5,0.43
"15","ACL3808",5,0.25
"16","ACM1786",5,0.22
"17","ACN3446",5,0.3
"18","ACO2643",5,0.22
"19","ACP5827",5,0.21
"20","ACQ4604",5,0.24
"21","ACR3253",5,0.27
"22","ACS1800",5,0.28
"23","ACT7431",5,0.28
"24","ACU0708",5,0.32
"25","ACV7531",5,0.4
"26","ACW1212",6,0.52
"27","ACX8679",5,0.44
"28","ACY4334",5,0.52
"29","ACZ0597",5,0.42
"30","ADA4600",5,0.24
"31","ADB0317",5,0.3
"32","ADC5721",5,0.34
"33","ADD3819",6,0.28
"34","ADE6238",6,0.35
"35","ADF1499",5,0.4
"36","ADG4733",5,0.35
"37","ADH6103",5,0.35
"38","ADI6283",5,0.33
"39","ADJ3376",5,0.38
"40","ADK1104",5,0.49
"41","ADL9066",5,0.48
"42","ADM5239",5,0.46
"43","ADN6552",5,0.47
"44","ADO5765",5,0.42
"45","ADP5848",5,0.3
"46","ADQ9643",5,0.33
"47","ADS4128",5,0.32
"48","ADT3849",5,0.3
"49","ADU2120",5,0.4
"50","ADV4723",5,0.37
"51","ADW1266",5,0.4
"52","ADX6829",5,0.38
"53","ADY1918",5,0.41
"54","ADZ4131",5,0.39
"55","AEA7611",5,0.37
"56","AEB4051",5,0.34
"57","AEC5055",5,0.41
"58","AED7578",5,0.3
"59","AEE1185",5,0.32
"60","AEF6243",5,0.35
"61","AEG4970",5,0.34
"62","AEH2381",5,0.32
"63","AEI2839",5,0.28
"64","AEJ4099",5,0.25
"65","AEK3542",5,0.21
"66","AEL2099",5,0.27
"67","AEM4267",4,0.24
"68","AEN2497",5,0.22
"69","AEO8418",5,0.43
"70","AEP2902",5,0.43
"71","AEQ2637",5,0.42
"72","AER1617",5,0.34
"73","AES2892",5,0.31
"74","AET9658",6,0.42
"75","AEU1941",5,0.45
"76","AEV2517",5,0.43
"77","AEW5970",5,0.51
"78","AEX5691",5,0.49
"79","AEY2191",18,8.26
"80","AEZ2601",13,8.07
"81","AFA0125",12,7.28
"82","AFB1674",14,8.14
"83","AFC3199",12,7.99
"84","AFD7600",5,0.41
"85","AFE6027",5,0.39
"86","AFF0605",5,0.33
"87","AFG6691",5,0.35
"88","AFH2340",5,0.32
"89","AFI5940",16,7.81
"90","AFJ2564",18,8.28
"91","AFK8081",13,8.2
"92","AFL6002",16,8.25
"93","AFM3970",15,8.11
"94","AFN6741",14,8.19
"95","AFO3585",17,8.14
"96","AFP1848",15,8.34
"97","AFQ0179",21,8.48
"98","AFR5861",14,8.16
"99","AFS5163",17,8.4
"100","AFT2844",13,8.35
"101","AFU4651",15,7.44
"102","AFV5305",10,8.1
"103","AFW5102",15,8.39
"104","AFX4885",14,7.98
"105","AFY6280",14,8.23
"106","AFZ7040",12,7.98
"107","AGA3981",12,7.99
"108","AGB0211",11,8.1
"109","AGC4394",6,0.34
"110","AGD4581",12,8.05
"111","AGE2285",11,8.18
"112","AGF5945",16,8.34
"113","AGG6182",15,8.4
"114","AGH4383",15,8.08
"115","AGI0122",13,7.92
"116","AGJ5782",15,8.25
"117","AGK2513",20,8.1
"118","AGL2418",17,8.26
"119","AGM8698",15,8.16
"120","AGN9253",5,0.35
"121","AGO8534",6,0.34
"122","AGP9561",5,0.31
"123","AGQ5732",5,0.33
"124","AGR3236",5,0.31
"125","AGS2795",5,0.22
"126","AGT1195",5,0.29
"127","AGU2562",5,0.29
"128","AGV1765",5,0.29
"129","AGW4674",5,0.33
"130","AGY2777",5,0.32
"131","AGZ5517",5,0.38
"132","AHA3180",5,0.35
"133","AHB5756",5,0.37
"134","AHC6643",5,0.38
"135","AHD2890",5,0.45
"136","AHE9321",5,0.44
"137","AHF6581",5,0.44
"138","AHG5829",5,0.44
"139","AHH4009",5,0.49
"140","AHI2543",5,0.32
"141","AHJ5329",5,0.3
"142","AHK0576",5,0.36
"143","AHL0118",5,0.41
"144","AHM1170",5,0.31
"145","AHN5830",5,0.34
"146","AHO3573",5,0.38
"147","AHP0080",5,0.39
"148","AHQ0180",5,0.43
"149","AHR3503",5,0.41
"150","AHS3120",5,0.39
"151","AHT0657",5,0.37
"152","AHU6941",5,0.38
"153","AHV3134",5,0.32
"154","AHW4791",5,0.31
"155","AHX5520",16,8.1
"156","AHY0313",17,7.44
"157","AHZ8128",13,7.37
"158","AIA1602",15,7.45
"159","AIB1033",16,8.22
"160","AIC8155",18,8.25
"161","AID6090",20,7.99
"162","AIE1799",17,7.39
"163","AIF4616",19,8.09
"164","AIG6204",15,7.47
"165","AIH5988",15,7.26
"166","AII0966",16,8.05
"167","AIJ3528",17,7.74
"168","AIK5442",17,8.13
"169","AIL1475",14,7.49
"170","AIM2004",16,8.2
"171","AIN5702",16,7.93
"172","AIP9050",15,8.26
"173","AIQ6550",17,7.59
"174","AIR3675",15,8.31
"175","AIS0494",17,8.29
"176","AIT9753",14,7.38
"177","AIU7712",17,8.29
"178","AIV0376",12,8.31
"179","AIW5218",14,7.98
"180","AIX0617",14,8.23
"181","AIY1169",19,8.32
"182","AIZ7271",14,8.41
"183","AJA8349",14,8.24
"184","AJB6718",12,7.34
"185","AJC7158",11,8.15
"186","AJD0350",12,7.93
"187","AJE6341",13,7.29
"188","AJF9503",15,8.06
"189","AJG4523",18,8.1
"190","AJH5149",14,8.36
"191","AJI3360",19,7.29
"192","AJJ5292",14,7.89
"193","AJK5790",18,8.21
"194","AJL4764",16,7.84
"195","AJM1428",15,8.02
"196","AJN0655",15,8.38
"197","AJO0381",15,7.92
"198","AJQ8352",16,8.13
"199","AJR6454",17,8.32
"200","AJS1455",18,8.24
"201","AJT3318",20,8.01
"202","AJU8268",15,8.42
"203","AJV0950",15,8.33
"204","AJW0721",16,8.32
"205","AJX2544",12,7.9
"206","AJY7747",18,8.08
"207","AJZ9114",16,8.07
"208","AKA3451",17,8.18
"209","AKB8707",14,8.25
"210","AKC8290",19,8.35
"211","AKD5015",15,7.97
"212","AKE4097",16,8.18
"213","AKF3745",14,7.31
"214","AKG1532",13,8.24
"215","AKH1573",15,8.27
"216","AKI2681",15,8.19
"217","AKJ7252",16,7.69
"218","AKK6283",17,8.1
"219","AKL8167",14,8.17
"220","AKM2704",14,8.26
"221","AKN5176",16,8.1
"222","AKO7972",18,8.25
"223","AKP4343",9,7.27
"224","AKQ2584",14,7.42
"225","AKR6457",15,7.81
"226","AKS4287",14,7.35
"227","AKT7102",15,7.71
"228","AKU4270",18,7.88
"229","AKV5268",17,8.19
"230","AKW0479",17,7.99
"231","AKX7743",17,8.28
"232","AKY4269",12,7.91
"233","AKZ2794",14,7.79
"234","ALA2747",11,8.13
"235","ALB9866",11,8.06
"236","ALC6472",15,7.74
"237","ALD4933",11,7.92
"238","ALE4709",16,8.09
"239","ALF5461",16,8.11
"240","ALG1782",14,8.15
"241","ALH8479",14,8.32
"242","ALI4627",14,8.33
"243","ALJ6353",17,7.9
"244","ALK1774",16,8.3
"245","ALL9208",17,7.92
"246","ALM9190",17,7.38
"247","ALN2133",21,7.2
"248","ALO5425",17,7.39
"249","ALP5518",13,8.1
"250","ALQ7610",16,7.94
"251","ALR2260",17,7.42
"252","ALS6326",17,7.95
"253","ALT0799",14,8.02
"254","ALU2006",14,8.25
"255","ALV1555",14,8.23
"256","ALW7103",14,7.11
"257","ALX1030",14,7.95
"258","ALY4835",14,8.09
