"","ID","n","leaf_area"
"1","AEY2191",5,0.41
"2","AEZ2601",5,0.36
"3","AFA0125",5,0.46
"4","AFB1674",5,0.44
"5","AFC3199",5,0.57
"6","AFI5940",5,0.67
"7","AFJ2564",5,0.72
"8","AFK8081",5,0.58
"9","AFL6002",5,0.51
"10","AFM3970",5,0.58
"11","AFN6741",5,0.46
"12","AFO3585",5,0.37
"13","AFP1848",5,0.52
"14","AFQ0179",5,0.44
"15","AFR5861",5,0.46
"16","AFS5163",5,0.52
"17","AFT2844",5,0.36
"18","AFU4651",5,0.49
"19","AFV5305",5,0.51
"20","AFW5102",5,0.4
"21","AFX4885",5,0.38
"22","AFY6280",5,0.41
"23","AFZ7040",5,0.45
"24","AGA3981",5,0.48
"25","AGB0211",5,0.36
"26","AGD4581",5,0.39
"27","AGE2285",5,0.33
"28","AGF5945",5,0.48
"29","AGG6182",5,0.36
"30","AGH4383",5,0.54
"31","AGI0122",5,0.53
"32","AGJ5782",5,0.38
"33","AGK2513",5,0.5
"34","AGL2418",5,0.47
"35","AGM8698",5,0.44
"36","AHX5520",5,0.33
"37","AHY0313",5,0.44
"38","AHZ8128",5,0.41
"39","AIA1602",5,0.48
"40","AIB1033",5,0.52
"41","AIC8155",5,0.44
"42","AID6090",5,0.38
"43","AIE1799",5,0.46
"44","AIF4616",5,0.47
"45","AIG6204",5,0.39
"46","AIH5988",5,0.4
"47","AII0966",5,0.35
"48","AIJ3528",5,0.41
"49","AIK5442",5,0.48
"50","AIL1475",5,0.45
"51","AIM2004",5,0.56
"52","AIN5702",5,0.46
"53","AIP9050",5,0.61
"54","AIQ6550",5,0.54
"55","AIR3675",5,0.48
"56","AIS0494",5,0.5
"57","AIT9753",5,0.49
"58","AIU7712",5,0.53
"59","AIV0376",4,0.36
"60","AIW5218",5,0.64
"61","AIX0617",5,0.56
"62","AIY1169",5,0.49
"63","AIZ7271",5,0.58
"64","AJA8349",5,0.57
"65","AJB6718",5,0.28
"66","AJC7158",5,0.34
"67","AJD0350",5,0.33
"68","AJE6341",5,0.34
"69","AJF9503",5,0.36
"70","AJG4523",5,0.66
"71","AJH5149",5,0.52
"72","AJI3360",5,0.56
"73","AJJ5292",5,0.45
"74","AJK5790",5,0.5
"75","AJL4764",5,0.53
"76","AJM1428",5,0.59
"77","AJN0655",5,0.41
"78","AJO0381",5,0.5
"79","AJQ8352",5,0.5
"80","AJR6454",5,0.51
"81","AJS1455",5,0.54
"82","AJT3318",5,0.49
"83","AJU8268",5,0.6
"84","AJV0950",5,0.49
"85","AJW0721",5,0.61
"86","AJX2544",5,0.51
"87","AJY7747",5,0.49
"88","AJZ9114",5,0.54
"89","AKA3451",5,0.46
"90","AKB8707",5,0.42
"91","AKC8290",5,0.41
"92","AKD5015",5,0.5
"93","AKE4097",5,0.44
"94","AKF3745",5,0.42
"95","AKG1532",5,0.44
"96","AKH1573",5,0.37
"97","AKI2681",5,0.5
"98","AKJ7252",5,0.46
"99","AKK6283",5,0.46
"100","AKL8167",5,0.46
"101","AKM2704",5,0.71
"102","AKN5176",4,0.28
"103","AKO7972",5,0.52
"104","AKP4343",5,0.33
"105","AKQ2584",4,0.4
"106","AKR6457",5,0.63
"107","AKS4287",5,0.73
"108","AKT7102",5,0.77
"109","AKU4270",5,0.41
"110","AKV5268",5,0.41
"111","AKW0479",5,0.45
"112","AKX7743",5,0.36
"113","AKY4269",5,0.53
"114","AKZ2794",5,0.41
"115","ALA2747",5,0.44
"116","ALB9866",5,0.41
"117","ALC6472",5,0.48
"118","ALD4933",5,0.49
"119","ALE4709",5,0.46
"120","ALF5461",5,0.45
"121","ALG1782",5,0.4
"122","ALH8479",5,0.49
"123","ALI4627",5,0.41
"124","ALJ6353",5,0.43
"125","ALK1774",5,0.48
"126","ALL9208",5,0.59
"127","ALM9190",5,0.46
"128","ALN2133",5,0.47
"129","ALO5425",5,0.53
"130","ALP5518",5,0.47
"131","ALQ7610",5,0.47
"132","ALR2260",5,0.41
"133","ALS6326",5,0.4
"134","ALT0799",5,0.45
"135","ALU2006",5,0.49
"136","ALV1555",5,0.42
"137","ALW7103",5,0.52
"138","ALX1030",5,0.42
"139","ALY4835",5,0.36
"140","ALZ0919",5,0.35
"141","AMA2911",5,0.35
"142","AMB0961",5,0.51
"143","AMC5015",5,0.33
"144","AMD1977",4,0.26
"145","AME2572",5,0.55
"146","AMF8499",5,0.46
"147","AMG6203",5,0.51
"148","AMH1052",5,0.49
"149","AMI0530",5,0.62
"150","AMJ6008",5,0.77
"151","AMK6767",5,0.67
"152","AML9094",5,0.72
"153","AMM7954",5,0.78
"154","AMN5186",5,0.64
"155","AMO7965",5,0.65
"156","AMP6104",5,0.58
"157","AMQ3305",5,0.61
"158","AMR2415",5,0.55
"159","AMS0757",5,0.6
"160","AMT8137",5,0.67
"161","AMU9701",5,0.55
"162","AMV5254",5,0.4
"163","AMW7024",5,0.58
"164","AMX0988",5,0.84
"165","AMY0728",5,0.8
"166","AMZ6959",5,0.95
"167","ANA3855",5,0.92
"168","ANB3937",5,0.88
"169","ANC4732",4,0.61
"170","AND3521",5,0.8
"171","ANE4527",5,0.77
"172","ANF4169",5,0.72
"173","ANG9914",5,0.75
"174","ANH0178",5,0.79
"175","ANI4441",5,0.61
"176","ANJ0271",5,0.67
"177","ANK7018",5,0.73
"178","ANL8059",5,0.59
"179","ANM5224",5,0.52
"180","ANN9182",4,0.32
"181","ANO4375",5,0.58
"182","ANP3602",5,0.4
"183","ANQ4032",5,0.44
"184","ANR5076",5,0.5
"185","ANS0610",5,0.38
"186","ANT3490",5,0.5
"187","ANU2647",5,0.4
"188","ANV0357",5,0.38
"189","ANW2146",5,0.41
"190","ANX0417",5,0.39
"191","ANY3979",5,0.33
"192","ANZ7855",5,0.33
"193","AOA5929",5,0.35
